id,cliente_id,data_emissao,data_vencimento,valor,status
1,1,2024-10-20,2024-11-19,1909.49,1
2,1,2025-02-21,2025-03-13,4666.53,1
3,1,2024-08-23,2024-09-20,411.92,2
4,1,2024-10-22,2024-11-30,2874.01,1
5,1,2024-11-30,2024-12-16,3697.55,2
6,1,2024-10-14,2024-11-15,1167.7,1
7,1,2024-08-19,2024-09-24,1619.7,1
8,1,2025-01-03,2025-01-21,2791.22,1
9,2,2025-06-04,2025-07-13,4527.65,4
10,2,2025-05-21,2025-06-07,1388.92,1
11,2,2024-12-19,2025-01-11,2847.57,2
12,2,2024-10-17,2024-11-14,4295.0,2
13,2,2025-02-23,2025-03-11,3071.59,1
14,2,2024-07-05,2024-08-17,1235.11,4
15,2,2024-08-21,2024-09-10,2873.45,2
16,2,2024-08-30,2024-09-24,927.76,1
17,2,2025-02-06,2025-02-27,2602.79,2
18,3,2025-04-20,2025-06-04,904.21,2
19,3,2025-03-09,2025-04-15,1275.68,2
20,3,2024-07-19,2024-08-24,979.08,2
21,3,2024-08-13,2024-09-11,3775.0,1
22,3,2025-03-31,2025-05-03,2314.18,2
23,4,2025-05-08,2025-06-22,3298.57,2
24,4,2025-02-05,2025-03-05,3219.91,1
25,4,2025-02-15,2025-03-16,4701.8,2
26,4,2025-01-31,2025-03-16,3662.75,2
27,4,2024-10-28,2024-11-28,413.17,4
28,4,2024-09-28,2024-11-08,2883.5,1
29,5,2024-07-24,2024-08-15,3459.56,2
30,5,2025-01-05,2025-02-09,3803.07,2
31,5,2024-12-05,2024-12-31,3770.54,2
32,5,2024-09-22,2024-10-14,4853.07,3
33,5,2024-10-24,2024-11-22,4802.19,2
34,5,2025-03-22,2025-05-04,4790.72,2
35,5,2024-12-04,2025-01-01,1191.14,2
36,5,2024-08-07,2024-09-19,1467.47,2
37,5,2025-01-09,2025-02-23,2920.06,1
38,6,2024-12-31,2025-02-10,4249.78,2
39,6,2024-06-07,2024-07-01,303.64,2
40,6,2025-03-24,2025-05-01,2643.21,2
41,6,2025-01-08,2025-02-14,1210.98,2
42,6,2025-05-15,2025-06-14,4586.01,2
43,6,2024-09-10,2024-09-27,3174.5,2
44,6,2025-03-18,2025-04-23,4324.12,1
45,6,2024-07-30,2024-08-31,2359.82,1
46,6,2025-01-23,2025-02-09,1187.88,3
47,6,2025-05-08,2025-06-21,644.87,4
48,7,2024-06-18,2024-07-06,1370.1,1
49,7,2024-08-28,2024-10-08,3814.6,2
50,7,2024-09-16,2024-10-08,322.95,3
51,7,2025-02-04,2025-03-01,3266.04,2
52,8,2024-10-22,2024-11-18,674.39,3
53,8,2024-07-18,2024-08-06,4372.07,1
54,8,2024-08-22,2024-09-07,4187.6,3
55,8,2025-03-11,2025-03-28,3085.39,3
56,8,2024-10-29,2024-11-25,1775.24,2
57,8,2025-01-12,2025-01-27,4045.86,2
58,8,2024-09-17,2024-10-19,2985.05,2
59,8,2025-05-20,2025-07-04,3700.99,4
60,8,2025-05-09,2025-06-17,542.05,2
61,9,2025-01-19,2025-02-23,2454.53,2
62,9,2025-04-29,2025-06-02,2501.61,1
63,9,2024-10-01,2024-11-09,3970.58,2
64,10,2025-05-04,2025-05-24,4672.37,1
65,10,2024-06-10,2024-06-27,1813.18,2
66,10,2025-02-13,2025-03-24,3839.25,1
67,10,2025-06-04,2025-07-09,247.11,1
68,10,2024-09-10,2024-10-15,213.39,3
69,10,2024-12-17,2025-01-12,4095.65,2
70,10,2025-01-14,2025-02-02,3460.69,1
71,10,2024-07-12,2024-08-13,2460.67,1
72,11,2025-05-26,2025-07-06,1754.25,2
73,11,2024-07-10,2024-08-16,2425.54,2
74,11,2025-04-08,2025-05-23,500.35,2
75,11,2025-04-11,2025-04-26,4069.37,2
76,11,2024-07-12,2024-08-01,1639.71,3
77,11,2025-05-28,2025-07-01,4482.98,2
78,11,2025-02-07,2025-03-18,1328.06,2
79,12,2025-01-08,2025-01-31,614.06,2
80,12,2024-11-21,2024-12-26,1548.22,2
81,12,2025-02-07,2025-03-18,2900.16,1
82,12,2025-01-26,2025-02-13,2657.58,4
83,12,2025-05-20,2025-06-07,1939.12,1
84,12,2024-10-20,2024-11-10,453.56,2
85,12,2025-04-06,2025-05-19,4298.52,2
86,12,2025-01-22,2025-02-09,4724.85,4
87,12,2024-06-22,2024-08-02,3429.86,2
88,12,2025-02-11,2025-02-27,4394.64,3
89,13,2024-09-14,2024-10-06,328.39,2
90,13,2025-01-20,2025-03-04,2807.43,2
91,13,2024-09-25,2024-10-23,786.21,2
92,13,2025-02-07,2025-03-18,4186.55,2
93,13,2025-03-12,2025-03-29,1898.64,2
94,13,2025-05-19,2025-06-03,1725.82,4
95,14,2025-02-23,2025-03-25,1483.96,1
96,14,2025-02-28,2025-03-31,585.79,2
97,14,2025-04-04,2025-04-19,683.84,2
98,14,2024-07-26,2024-09-07,4621.15,2
99,14,2025-04-22,2025-05-07,2544.22,3
100,14,2025-04-11,2025-05-11,704.92,2
101,14,2025-03-18,2025-04-03,1048.13,3
102,15,2024-11-29,2024-12-17,352.33,2
103,15,2025-02-06,2025-03-22,594.89,4
104,15,2024-09-17,2024-10-10,2783.9,2
105,15,2024-06-07,2024-07-22,2730.71,4
106,15,2024-09-10,2024-09-28,3052.56,2
107,15,2025-06-01,2025-07-05,4123.88,1
108,15,2025-02-03,2025-03-06,2918.01,2
109,16,2024-11-09,2024-12-13,3096.86,2
110,16,2024-06-30,2024-07-28,3201.89,2
111,16,2024-06-14,2024-07-11,3511.4,2
112,16,2024-07-24,2024-08-15,3547.99,2
113,16,2024-06-30,2024-08-07,119.45,1
114,16,2025-05-02,2025-06-09,3926.93,4
115,16,2024-10-16,2024-11-25,4489.93,2
116,16,2025-04-29,2025-05-19,3497.95,3
117,16,2024-11-08,2024-11-26,2649.45,2
118,17,2024-10-04,2024-11-15,2044.82,2
119,17,2025-01-17,2025-02-25,1264.27,4
120,17,2024-07-28,2024-08-20,508.74,2
121,17,2025-05-24,2025-06-14,4110.97,2
122,17,2025-06-03,2025-07-05,3818.09,2
123,17,2024-12-29,2025-02-09,1775.97,2
124,17,2024-09-08,2024-10-04,4074.68,1
125,17,2025-04-27,2025-06-06,1796.75,3
126,17,2024-08-22,2024-09-28,2138.34,2
127,17,2025-03-07,2025-04-16,2711.4,2
128,18,2024-12-19,2025-01-08,4270.59,2
129,18,2024-10-14,2024-11-21,2497.36,4
130,18,2025-03-05,2025-03-29,3866.02,4
131,18,2025-03-13,2025-04-02,1106.21,1
132,18,2025-01-03,2025-01-22,941.49,2
133,19,2024-08-16,2024-09-30,2730.81,2
134,19,2025-03-07,2025-03-27,246.73,4
135,19,2025-02-28,2025-03-20,2188.3,1
136,19,2025-03-04,2025-04-11,3644.21,2
137,19,2024-07-16,2024-08-28,3895.53,2
138,19,2024-12-12,2025-01-06,2825.22,2
139,19,2025-01-12,2025-02-02,4541.95,2
140,20,2025-05-25,2025-06-15,482.51,2
141,20,2024-06-16,2024-07-04,4041.06,2
142,20,2024-10-16,2024-11-26,4046.18,1
143,20,2024-09-29,2024-10-18,4942.56,2
144,20,2024-12-07,2025-01-14,3176.0,4
145,20,2024-12-16,2025-01-22,4710.91,2
146,20,2025-02-26,2025-04-03,1276.21,2
147,21,2025-02-24,2025-04-01,4756.5,2
148,21,2025-05-30,2025-07-11,4863.28,1
149,21,2025-04-22,2025-05-22,1032.97,2
150,21,2025-06-02,2025-06-19,1242.5,2
151,21,2024-09-14,2024-10-01,2584.2,2
152,21,2025-03-13,2025-04-05,3359.0,4
153,21,2025-01-07,2025-01-23,4700.51,2
154,22,2024-11-18,2024-12-12,280.92,1
155,22,2024-08-19,2024-10-01,4734.82,2
156,22,2025-03-20,2025-05-04,3650.58,1
157,22,2025-01-12,2025-02-25,3081.52,1
158,22,2025-05-01,2025-06-11,3205.32,1
159,22,2025-02-28,2025-04-07,102.98,2
160,22,2024-07-18,2024-08-23,1786.69,2
161,23,2025-04-15,2025-05-13,3977.27,2
