id,fatura_id,data_pagamento,valor_pago
1,3,2024-09-24,288.65
2,5,2024-12-26,268.06
3,9,2025-06-20,4114.14
4,11,2025-02-07,1594.93
5,12,2024-11-15,2385.71
6,14,2024-08-11,437.7
7,15,2024-09-03,1832.25
8,17,2025-03-09,75.34
9,18,2025-06-08,295.52
10,19,2025-04-29,114.04
11,20,2024-08-11,634.42
12,22,2025-04-28,18.99
13,23,2025-05-30,2304.42
14,25,2025-02-26,1973.59
15,26,2025-03-06,853.51
16,27,2024-12-16,54.88
17,29,2024-09-22,644.53
18,30,2025-02-20,3528.57
19,31,2025-01-05,121.07
20,33,2024-12-05,1246.12
21,34,2025-04-08,3632.45
22,35,2025-01-13,791.03
23,36,2024-10-05,953.94
24,38,2025-02-19,1636.65
25,39,2024-07-25,151.02
26,40,2025-04-19,984.94
27,41,2025-01-14,321.64
28,42,2025-05-24,1784.39
29,43,2024-11-08,789.23
30,47,2025-06-12,116.6
31,47,2025-07-06,98.11
32,49,2024-10-26,1996.36
33,51,2025-03-30,1411.98
34,56,2024-11-03,905.67
35,57,2025-01-21,2108.42
36,58,2024-10-08,1026.86
37,59,2025-07-03,2556.25
38,59,2025-06-01,464.3
39,60,2025-07-02,466.85
40,61,2025-03-01,410.09
41,63,2024-11-09,801.9
42,65,2024-07-30,334.46
43,69,2025-01-29,3788.45
44,72,2025-07-15,1030.68
45,73,2024-08-23,1677.62
46,74,2025-05-18,196.38
47,75,2025-05-20,762.34
48,77,2025-06-22,2524.58
49,78,2025-03-02,601.76
50,79,2025-02-07,29.12
51,80,2024-12-18,8.24
52,82,2025-03-08,234.86
53,82,2025-02-28,2103.74
54,84,2024-12-07,27.23
55,85,2025-04-13,98.65
56,86,2025-01-28,745.9
57,86,2025-02-15,1432.35
58,87,2024-08-18,2725.1
59,89,2024-10-08,196.74
60,90,2025-01-30,349.49
61,91,2024-11-15,44.51
62,92,2025-03-30,307.59
63,93,2025-04-20,212.5
64,94,2025-06-07,541.71
65,94,2025-07-02,522.5
66,96,2025-03-23,253.82
67,97,2025-04-06,143.85
68,98,2024-09-21,3984.56
69,100,2025-05-05,109.75
70,102,2024-12-22,61.72
71,103,2025-03-08,587.48
72,103,2025-03-28,6.0
73,104,2024-10-25,820.59
74,105,2024-08-03,2114.18
75,106,2024-09-28,1293.76
76,108,2025-03-30,1980.17
77,109,2024-12-14,975.52
78,110,2024-07-22,664.81
79,111,2024-07-30,3204.41
80,112,2024-09-08,1503.66
81,114,2025-06-10,1348.39
82,114,2025-06-27,895.1
83,115,2024-11-08,791.2
84,117,2025-01-02,2381.91
85,118,2024-10-09,1321.2
86,119,2025-02-10,676.5
87,119,2025-03-05,444.31
88,120,2024-07-29,465.27
89,121,2025-06-06,2659.17
90,122,2025-07-02,3465.65
91,123,2025-01-08,1498.42
92,126,2024-09-07,1448.49
93,127,2025-04-04,2055.76
94,128,2025-01-14,560.62
95,129,2024-10-29,129.61
96,129,2024-12-06,210.46
97,130,2025-03-27,2740.57
98,130,2025-04-17,795.02
99,132,2025-02-26,123.96
100,133,2024-10-06,175.52
101,134,2025-04-10,18.27
102,134,2025-03-19,114.32
103,136,2025-04-15,419.39
104,137,2024-08-20,346.3
105,138,2025-01-29,1766.29
106,139,2025-01-21,1336.41
107,140,2025-05-28,84.96
108,141,2024-07-24,2061.1
109,143,2024-11-22,4503.56
110,144,2025-01-16,102.82
111,145,2025-01-11,116.5
112,146,2025-04-02,519.85
113,147,2025-03-13,376.78
114,149,2025-05-12,375.91
115,150,2025-06-17,823.71
116,151,2024-09-24,604.95
117,152,2025-04-29,2016.18
118,152,2025-04-20,933.68
119,153,2025-01-13,1421.08
120,155,2024-09-04,2747.19
121,159,2025-03-03,78.53
122,160,2024-09-06,1604.07
123,161,2025-04-26,2086.12
124,162,2024-09-08,1207.99
125,163,2024-12-06,2374.23
126,164,2025-04-24,3269.89
127,165,2025-01-11,921.92
128,168,2025-03-01,160.34
129,169,2025-04-30,1558.6
130,170,2024-12-27,615.55
131,171,2024-08-24,3315.81
132,172,2024-12-17,264.16
133,173,2024-08-04,2725.3
134,174,2025-06-30,2862.7
135,175,2025-05-24,1374.54
136,177,2024-11-12,1625.98
137,178,2025-04-18,391.26
138,179,2024-12-15,2367.95
139,180,2024-12-19,1173.62
140,183,2024-12-14,1633.73
141,184,2025-01-15,2743.65
142,187,2025-02-09,150.19
143,191,2024-11-05,1573.48
144,192,2024-12-03,2331.28
145,192,2024-11-04,1320.66
146,193,2025-07-16,189.02
147,194,2024-11-14,143.3
148,194,2024-11-18,88.48
149,196,2025-01-15,2757.93
150,197,2025-04-24,1459.35
151,198,2024-09-05,2730.03
152,199,2025-03-07,522.59
153,200,2025-01-17,236.54
154,202,2024-08-11,1018.75
155,203,2025-05-24,1274.56
156,206,2024-06-29,1.81
157,207,2025-01-01,480.14
158,209,2025-05-29,908.88
159,210,2025-03-09,1220.73
160,211,2025-06-02,239.66
161,212,2025-01-04,371.11
162,213,2025-02-27,418.07
163,214,2025-05-06,48.9
164,215,2025-05-15,173.85
165,217,2025-07-28,214.67
166,219,2024-12-24,4278.16
167,220,2025-01-05,84.34
168,221,2025-07-26,2219.18
169,225,2024-10-25,613.91
170,226,2025-05-21,1793.78
171,227,2024-10-20,803.84
172,228,2025-03-20,485.22
173,229,2025-06-06,875.48
174,231,2024-09-22,186.31
175,232,2024-10-13,215.99
176,233,2025-02-27,1709.04
177,233,2025-01-30,1585.68
178,234,2024-08-13,327.8
179,236,2024-08-09,2336.21
180,238,2025-03-06,840.81
181,240,2025-07-05,243.69
182,241,2025-06-05,144.86
